Row_Number,Person ID,Company ID,Company Name,Industry,Title,ICP_Codex,ICP_Claude,Binary_ICP,Binary_Reason
5,6109e770f602fb00017196b5,60496c872cdc7500017f288e,PAG LAW,Legal Services,Partner,No,Maybe,No,professional services without clear sourcing mandate
7,5570831c7369642466170c00,5db12a02d890840001739e93,Fundamental Income,Real Estate,Partner,No,Maybe,No,non-target industry
12,66fb5800b5ed3900018c2ba8,5d9b734c994fd200d4e9a17f,Entourage Effect Capital,Financial Services,Founder/managing Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
13,54a3c8267468692fa24c6512,62626145cf955e00f59139d4,Seidler Equity Partners,Investment Management,Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
18,6700189c7b229a0001616f19,556dac0873696412174b6401,Blue Rose Capital Advisors,Financial Services,Vice President & Chief Compliance Officer,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
21,66f83931f3aaa2000120097a,5a9ce5f8a6da98d95ff71d12,"New Life CFO Services, LLC",Management Consulting,Founder & Fractional CFO,Maybe,No,No,insufficient direct icp evidence for strict yes/no
29,66f8fd084c57c60001e92bfc,61270741b65af8000108dec7,"Aeterra, LLC",Environmental Services,Chief Executive Officer,Maybe,No,No,insufficient direct icp evidence for strict yes/no
30,54a3ac677468693676599109,5a9dea37a6da98d94d8fc63a,The JIAN Group,Building Materials,Partner,Yes,No,Yes,explicit icp terminology
32,66fe64b6afd16b000145d948,54a11e4269702d8ccc7b5c01,TSI,"Leisure, Travel & Tourism",Managing Partner,Maybe,No,No,insufficient direct icp evidence for strict yes/no
34,66f7f600ae47ef00016d7993,54a1271269702dc128d20400,"Prospera Law, LLP",Legal Services,Partner,No,Maybe,No,professional services without clear sourcing mandate
38,611216404720430001a8c26e,5f3dabf18560c200013c9985,"Norton Collar Lund Lilley, PLLC",Accounting,Partner,Maybe,No,No,non-target industry
39,612270b56ca0cb00011e54c1,556de0d47369641258f1ad01,JM&M,Accounting,Partner,Maybe,No,No,non-target industry
41,66ebbf718a01b10001affada,54a1297369702d8cfc2fd301,"Leonard, Mulherin & Greene, P.C.",Accounting,Partner/cpa,Maybe,No,No,non-target industry
43,54a6020574686938ac7acdba,5e5694d434bf340001167e89,BOxD | Better Organizations by Design,Management Consulting,Vice President Growth And Impact,Maybe,No,No,insufficient direct icp evidence for strict yes/no
44,57d72ea6a6da9805cdbf1283,5e5721330ad8550001d8d390,Wolf's Edge Integrators,Management Consulting,Executive Assistant To Chief Executive Officer & Ops Team Member,Maybe,No,No,insufficient direct icp evidence for strict yes/no
54,5e2dbb2a6136f30001712204,5b8391fcf874f7163ac67bd7,Adventum,Management Consulting,Founding Partner,Yes,No,Yes,explicit icp terminology
55,66ffb644d359050001f4ecef,5f10db36c5396e008ca9dc07,Orchid Black,Management Consulting,Managing Partner,Maybe,No,No,insufficient direct icp evidence for strict yes/no
61,62dad4de9d3c770001829fab,54a1bac97468694f8fc80a0c,"Riley & Jacobson, PLC",Law Practice,Partner,No,Maybe,No,non-target industry
74,5ba81b31f874f7e0a951beec,54a11da569702d8ccc851d01,Next Point LLC,Management Consulting,Managing Partner,Yes,Maybe,Yes,explicit icp terminology
75,54a27bd57468693fda348926,55ea594cf3e5bb5998004985,"Friedman & Feiger, LLP",Law Practice,Partner,No,Maybe,No,non-target industry
76,66fd95480cd9940001738965,60f151b6ab0b3b0001730214,Envisage Law,Law Practice,Partner,No,Maybe,No,non-target industry
77,66fa09949901a20001e43a43,5569d3b07369642531e29e00,Company Vitals,Accounting,Partner & CFO,Maybe,No,No,non-target industry
78,66f66d04c09a28000151c7ee,55e7a324f3e5bb1eae0000ca,Hertz Herson CPA LLP,Accounting,Partner,Maybe,No,No,non-target industry
88,67aadb2306b8bb0001dcc499,63845c467e9a1600d00a023f,Hire Point Recruiting,Staffing & Recruiting,Managing Partner,Maybe,No,No,acquisition terms but non-target service industry
90,66f916b2ee610d0001bea125,5d36a45ef65125ad85aa0f19,MEDA - Metropolitan Economic Development Association,Management Consulting,CEO And President,Maybe,No,No,insufficient direct icp evidence for strict yes/no
91,54a706f674686975f8c0810e,54a128c469702d979cd14e01,Federman Steifman LLP,Law Practice,Partner,Yes,Maybe,Yes,explicit icp terminology
94,66f6a93f0c27bf0001e2b7d8,5c08254220fa9f0b43b06d43,Tembo CPAs,Accounting,Founder,Maybe,No,No,professional services without clear sourcing mandate
101,5f550a68394feb00012f0889,5a9e3f19a6da98d93ee04448,OMNIS,Financial Services,Cofounder/CEO,Maybe,No,No,insufficient direct icp evidence for strict yes/no
102,54a330127468693fda7a6f5a,54a244ad7468693cdd51831b,Experience On Demand,Management Consulting,Senior Partner,Maybe,No,No,insufficient direct icp evidence for strict yes/no
103,54a4ec197468693b8c80306e,556dbf28736964120f999001,Engaged Capital LLC,Investment Management,"Partner, Head Of Trading And Risk Management",Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
104,66fce183294a4d000127fa99,54a135a569702d4b2ecfad00,The Lotus Group,Real Estate,Owner,Yes,Maybe,Yes,explicit icp terminology
105,60f133d31e5aec000177951c,556d68f273696412765f0001,Prosper Group,Management Consulting,Partner,Maybe,No,No,insufficient direct icp evidence for strict yes/no
106,54a5a7077468692abf00749f,54a12a4a69702d90a2cd2c02,Berlandi Nussbaum & Reitzas LLP,Legal Services,Partner,No,Maybe,No,professional services without clear sourcing mandate
107,637f436d04c2d3000173e03d,54a138ca69702d231f671b00,Berkeley Capital Advisors,Commercial Real Estate,Partner,No,Maybe,No,non-target industry
108,55e3ba58f3e5bb19ba00360e,55920f55736964186fe34500,Catanese Group,Accounting,Partner,Maybe,No,No,non-target industry
109,66f03a520575650001981b94,5e55f8a418a6380001427376,Caravel,Staffing & Recruiting,Founder And CEO,Yes,No,Yes,explicit icp terminology
111,66fabf21dbf0f500019b2ff1,54a1297e69702da220c19f01,"BDC Advisors, LLC",Management Consulting,Managing Director And CEO,Maybe,No,No,insufficient direct icp evidence for strict yes/no
113,66f6f908535ef50001a20ce0,54a1269b69702d8b197d6300,Liberty Advisor Group,Management Consulting,Founder / Partner,Yes,Maybe,Yes,explicit icp terminology
115,609a8678308b2b0001361e12,54a138ca69702d231f671b00,Berkeley Capital Advisors,Commercial Real Estate,Partner,No,Maybe,No,non-target industry
117,6804f8cae741b700010440f8,5da27745d7019200017f375c,TGN Consulting,Management Consulting,CEO And Principal,Yes,No,Yes,explicit icp terminology
118,672780a91384560001c7899a,55ea5ae6f3e5bb58e80055fe,"Laurel Strategies, Inc.",International Affairs,"Founder, Chair & CEO",Yes,No,Yes,explicit icp terminology
124,601d5848680816000117e397,54a198357468695860962e00,"Ardmore Banking Advisors, Inc.",Financial Services,President & CEO,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
125,64f4e0c6cafd1a0001459d5a,54a1351469702d48e2085d00,Rankin McKenzie,Financial Services,Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
128,54a7809f7468696de789b43a,54a1290f69702d9ebc954c01,"Lethert, Skwira, Schultz, & Co LLP",Accounting,Partner,Maybe,No,No,non-target industry
130,54a71e7674686965d9affd16,54a1a07f7468694f8f5b0003,Wegman Hessler Valore,Law Practice,Partner,Yes,No,Yes,explicit icp terminology
133,66fc485359c48a000172ed8a,5fc979bb85d000000101c208,Crunchfirm,Financial Services,Founder & CEO,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
135,55708c4b73696425fa340200,5e208bcd4486cf008cbcb8db,TP4 Advisors,Financial Services,Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
138,57d73d64a6da985bbf0a783e,54a12b1169702dcef9786e02,SIS Intelligence,International Trade & Development,Founder - Senior Consultant,Yes,No,Yes,explicit icp terminology
140,6419be48e5a5840001df0d2e,5cb6127080f93e30d2b6ed89,Ultim Group,Management Consulting,"CEO At Utg, Chairman",Yes,No,Yes,explicit icp terminology
147,5e6c8c0eb072820001fa77f4,604a82c3b466f700014083db,Spartan Placements,Staffing & Recruiting,Partner Engagement & Talent Relations Lead,Yes,No,Yes,explicit icp terminology
150,66f439d1934dc20001dcd0fc,61ec6ebaa226ab0001d5d889,ReRoute Americas,Food & Beverages,Owner And Co-founder,Maybe,No,No,insufficient direct icp evidence for strict yes/no
151,54a4ff6774686938ac409e74,54a23d0374686930c2ffb418,"TSS Advisors, LLC",Accounting,Partner,Maybe,No,No,professional services without clear sourcing mandate
152,54a29ce174686930c29df82f,54a1281b69702d931351ec00,Farient Advisors LLC,Management Consulting,Partner,Maybe,No,No,insufficient direct icp evidence for strict yes/no
154,54ebd41b7468694311cd6a2e,54a11bac69702d918cc04e00,"Apex CPAs & Consultants, Inc.",Accounting,Managing Partner,Maybe,No,No,non-target industry
156,5f559c2446f0630001a7f780,5d09a009f65125b2bb0e78dc,DWC - The 401(k) Experts,Financial Services,Partner,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
158,687d8ff25046d40001b34d80,5569b6747369642589428400,Curran Group,Investment Management,President And CEO,Maybe,Yes,No,insufficient direct icp evidence for strict yes/no
161,669a10bc036db50001eae1b1,5dea19a1629b8300fec9bfa0,"Charles River CFO, Inc.",Accounting,Human Resources Business Partner,Maybe,No,No,non-target industry
163,66f769b79cab900001165e37,60495aec9c0342000191c979,Ascension Search Partners,Staffing & Recruiting,"Partner, Tax Recruiting Practice",Yes,No,Yes,explicit icp terminology
166,6104144019e71100017a9b56,5eac8ea5cb85ec00c262fd9a,"Ross Law Group, PLLC",Law Practice,Managing Partner,No,Maybe,No,professional services without clear sourcing mandate
170,54a3bd7874686936768fe80e,54a1bc917468695c824f340c,"Wouch, Maloney & Co., LLP",Accounting,Partner,Maybe,No,Yes,explicit icp terminology
