Company Name,Industry,pair_counts,reason_top,headline,desc,kw
AANDAR Real Estate Capital,Financial Services,{'Maybe->Yes': 5},Financial firm with investment signals (financial services),Vice President Of Originations,,"commercial real estate, financing solutions, real estate owners, real estate developers, real estate investors, financing options, competitive loan terms, seamless closing process, permanent financing"
Ally Bridge Group,Financial Services,{'Maybe->Yes': 7},Financial firm with investment signals (financial services),Managing Director,"Ally Bridge Group is a global healthcare manager focused on high-impact life science innovation across private and public markets. Founded in 2013 by Frank Yu, Co-Chief Executive Officer and Co-Chief Investment Officer, the firm manages assets from offices in ","healthcare, private equity, public equity, healthcare investment, life science, biotechnology, medical technology, capital markets, investment management, clinical research, m&a, risk-adjusted returns"
Alpha Asset Management,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Owner At Alpha Asset Management,"알파를 창출하고, 세상에 지속 가능한 가치를 더하다.
ㅤ
알파자산운용은 각 분야 최고 수준의 전문 인력이 창의적이고 팀워크 지향적인 업무수행을 함으로써 전략적이고 합리적인 자산운용 서비스를 제공합니다.","multi-asset, infrastructure, real estate, private equity, investment returns, sustainable development, commercial properties, residential properties, impact investing, financial services, portfolio ma"
Ariel Alternatives,Financial Services,{'Maybe->No': 2},Financial firm with investment signals (financial services),Office Of The Chairman & CEO,"Ariel Alternatives, LLC is a private asset management firm affiliated with Ariel Investments, LLC. Ariel Alternatives is an enterprise newly conceived for the times and built on a four decade-old foundation. The firm's first initiative, Project Black, is on a ","private equity, asset management, sustainable businesses, minority-owned businesses, supplier diversity, economic equality, fortune 500, investment strategy, middle-market companies, supplier-of-choic"
"Baker Group Merger and Acquisition Consultants, Inc.",Financial Services,{'Maybe->Yes': 2},Financial firm with investment signals (financial services),"Founder & CEO Of Baker Group Merger And Acquisition Consultants, Inc. ","Since 1988, Jerry Baker has been involved in consulting with clients in a variety of industries and unique situations to sell their businesses. The company has a successful track record in working with its clients to structure a transaction that meets the need","mergers & acquisitions, business brokerage, exit strategies, business valuation, due diligence, transaction structuring, business consulting, market positioning, financial analysis, negotiation proces"
Baton,Internet,{'Maybe->Yes': 3},Non-standard with investment signals (internet),Co-founder & CEO At Baton,"Baton is a marketplace for small business sellers and buyers. 

Baton supports any small business by getting them to a successful sale on the first trusted and transparent platform in the industry. We empower owners with the right information upfront and then ","smb, smbs, small business, marketplace, internet marketplace platforms, sell a business, buy a business, business valuation, business brokerage, m&a advisors, confidential business review, financial t"
BizCap®,Financial Services,{'Maybe->Yes': 2},Financial firm with investment signals (financial services),Managing Director Of Capital Markets And Chief Credit Officer,"BizCap®, founded in 2002, is a national commercial finance and restructuring company with a presence in San Francisco, Dallas, Denver, Los Angeles, and Tampa. We provide debt restructuring, asset based financing and growth capital for lower and middle market c","asset based lending, financing, debt restructuring, business turnaround, capital raising advisory, commercial finance, business capital, capital solutions, growth capital, distressed buyouts, mergers "
Braidwell,Financial Services,{'Maybe->Yes': 3},Financial firm with investment signals (financial services),Braidwell,Braidwell,"health transformation, flexible capital, thoughtful partnership, life sciences, capital structure, public markets, private markets, structured capital, medical leadership, scientific understanding, fi"
Bridgeport Partners,Investment Management,{'Yes->No': 2},Private Equity,Partner,"Bridgeport Partners is a New York-based private equity firm focused on investing in financial technology and services companies across North America and Europe. 

We apply a fully integrated investment approach that combines decades of operating, domain and in","private equity, investment firm, technology companies, financial services, capital partner, strategic support, growth acceleration, financial technology, operational enhancements, industry-informed, t"
"Burkehill Global Management, LP",Investment Management,{'Maybe->No': 2},Investment management - institutional allocator,"Partner, Managing Director",Registered Investment Adviser,"financial services, portfolio management, wealth management, asset allocation, risk assessment, financial advisory, retirement planning, tax optimization, real estate investment, private equity, hedge"
CMAC Partners,Capital Markets,{'Maybe->Yes': 2},Financial firm with investment signals (capital markets),Partner,"CMAC Partners uses data, leverage, and expertise to strengthen independent medical practices through physician-owned real estate. We help groups create sustainable, low-risk, and high-yielding real estate investments. CMAC acts as a financial advocate on behal","healthcare real estate financing & physicianowned medical real estate, medical real estate, financing solutions, secure financing, supplemental equity, sustainable ownership, real estate investment, p"
Clearline Capital LP,Financial Services,{'Maybe->Yes': 2},Financial firm with investment signals (financial services),Managing Director - Head Of Marketing And Investor Relations At Clearline Capital,"Clearline Capital LP is a fund manager based New York, NY.","capital management, investment strategies, financial advisory, wealth management, risk assessment, portfolio diversification, equity investment, fixed income, alternative investments, market analysis,"
Collaboration Capital,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Co-founder/partner At Collaboration Capital Management,"We believe in open communities and technology to reinvent Financing and Mergers & Acquisitions.
We work worldwide on:
-	Financing projects, from 1 to 100M€, via all financial instruments (debt, capital, bonds…), with no exclusivity, no fixed fee. 
-	Sell-side ","finance, investissement, fusionacquisition, capitalrisque, cession dentreprise, mergers & acquisitions, corporate finance, business acquisition, business transfer, project financing, working capital, "
Convergent Finance LLP,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Private Equity | Fortune 500 | Food & Beverage | Cpg | Retail | General Management | Growth Strategy | M&a,"Convergent is an investment partnership at the forefront of bringing together Ideas, Capital and passionate Entrepreneurs. We help great companies transform into global leaders. The Convergent investment process involves identifying proprietary platform and bo","private equity, investment partnership, capital management, value creation, entrepreneur support, financial discipline, deal sourcing, mergers & acquisitions, bolt-on acquisitions, esg management, gro"
DealMaker,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Managing Partner,"DealMaker is a strategic advisory firm specializing in Fundraising, Mergers and Acquisitions for entrepreneurs and investors in the digital economy.

By leveraging each client's unique characteristics and combining design, communication, and corporate finance,","m, a, startups, capital raising, corporate finance, technology, digital economy, a advisory, fintech, corporate development, transaction success, mergers & acquisitions, buy side advisory, sell side a"
DetailPage.com,Information Technology & Services,{'No->Yes': 2},Information Technology & Services - not ICP,"Patented Content Seo & Geo, Market Share, And Traffic Measurement For Ecommerce2x Exit. Amazon And Walmart Alumni",Detailpage.com uses actual customer search behavior to power the industry's first computational retail SEO algorithm. This patent pending technology (1) drives maximum organic traffic to your product detail pages and (2) decreases paid search costs by increasi,"amazon, ecommerce, organic traffic, listing optimization, detail page, traffic, growth strategies, digital marketing, data analytics, ecommerce solutions, seo optimization, content marketing, ppc, con"
"Encina Lender Finance, LLC",Financial Services,{'Maybe->Yes': 2},Financial firm with investment signals (financial services),CEO | CIO | Board Member | Private Credit Investment Professional | Asset-based & Specialty Finance | Fintech | Asset-backed Credit Facilities | Forward Flow Asset Purchase Program,"In October 2020, Encina Capital Partners, LLC and an affiliate of certain funds managed by Oaktree Capital Management, L.P. together announced the launch of Encina Lender Finance, LLC (""ELF""), a new independent lender finance platform targeting consumer and co","specialty finance, private credit, lender finance, enterprise value loans, commercial finance, asset-based lending, financing solutions, middle-market companies, credit facilities, delayed draw term l"
FBM Corporate Finance,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Associate Partner Bij Fbm Corporate Finance,"FBM is an independent advisory company that provides financial advisory services and capital raising solutions to clients in connection with debt and capital structures, mergers and acquisitions, restructurings and other strategic matters. FBM was founded in 1","financiering, financieel management, herstructurering, fusies, overnames, restructuring, corporate recovery, capital raising, mergers, acquisitions, financial management, corporate finance, commerciee"
Fifth Season Investments,Financial Services,{'Maybe->No': 1},Financial firm with investment signals (financial services),President & Chief Executive Officer,"Fifth Season Investments is a portfolio company of certain Owl Rock BDCs, which are externally managed by indirect subsidiaries of Blue Owl Capital Inc. that are SEC-registered investment advisers. Owl Rock is a division of Blue Owl Capital (NYSE: OWL), an alt","life insurance loans, loans, special loans, financial help, financial assistance, loans & financial assistance, life insurance, life settlements, investment management, portfolio management, secondary"
Flow Capital,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Business Owner Of Capital N Flow Llc,"We are here to help you grow. With loans up to $10 million, we provide the capital you need to scale fast, without compromising your vision or control.","venture debt, growth capital, startup financing, venture debt financing, saas financing, founderfriendly capital, nondilutive capital, capital for startups, growthstage financing, startup growth, saas"
Franchise Equity Partners,Financial Services,{'Maybe->No': 8},Financial firm with investment signals (financial services),"Managing Director, Head Of Investments","Franchise Equity Partners (""FEP"") was founded based upon our belief that the franchising sector is a critical and highly-attractive component of the US economy with limited access to institutional sources of permanent capital. We are targeting a portfolio of $","franchise investment, capital solutions, minority equity, long-term partnerships, flexible capital, operating partners, franchise development, strategic partnerships, acquisition financing, business g"
Gatehouse,International Affairs,{'No->Yes': 1},Does not match ICP (international affairs),Owner At Gatehouse,"Gatehouse was founded to solve a frustrating flaw: despite increasingly vast troves of geopolitical data, very little is provided in a format suitable for senior decision-makers.

Our clients want to understand quickly how geopolitical developments will affect","geopolitical arbitrage, geopolitical sensitivities testing, geopolitical assumptions testing, building bespoke advisory boards, supporting strategy teams, geostrategy, geopolitical risk, strategic dec"
Grantchester Group,Investment Management,{'Yes->No': 3},Private Equity,Partner At Grantchester Group,"We invest in businesses that create a better future for the world while partnering with visionary entrepreneurs to provide unique opportunities. We deliver sustainable, best-in-class returns for our investors. Learn more at grantchestergroup.com.","electric vehicles, ev, sustainable energy, green energy, private equity, ultracapacitor, impact investing, esg, endowments, medical devices, healthcare, investment, healthcare services, energy infrast"
"Great Rock Capital Partners, LLC",Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Vice President Finance,"Great Rock Capital Partners:  Fast, Flexible, and Creative Liquidity-Driven Solutions for Middle Market Companies.

Great Rock Capital is an asset-focused lender that supports middle market companies by providing maximum liquidity and growth capital.  We have ","asset based loans, abl, asset focused, restructuring, mergers & acquisitions, liquidity, growth capital, term loans, working capital, asset-focused lending, commercial finance, financing solutions, li"
Greybull Stewardship,Investment Management,{'Yes->No': 2},Private Equity,"Operating Partner, Recruiting And Human Resources, Greybull Stewardship","At Greybull Stewardship, we recognize that small businesses are the backbone of the U.S. economy. When they thrive, communities prosper, jobs grow, and industries evolve. That's why we invest in the high-potential, pre-middle market companies, ready to grow. W","premiddle market investments, flexible capital, business growth strategy, operational resources, value creation, private equity, investment, small business, business growth, capital investment, small "
HINGE Advisors,Primary/secondary Education,{'No->Yes': 1},Primary/Secondary Education - not ICP,Founder & CEO At Hinge Advisors,"Formed in 2003, HINGE Early Education Advisors is the nation's leading expert in growing and selling childcare businesses — successfully closing more than 300 early education transactions over the years. The HINGE team, comprised of former childcare business o","financial strategy, early education business, business broker, business valuation, profit, loss reports, business growth, financial growth, planning, early education events, real estate investment, fu"
Hunter Street,Financial Services,{'Yes->No': 4},Private Equity,Partner | CEO & CIO At Hunter Street Partners,"Hunter Street is a Minneapolis-based alternative investment management firm that provides creative capital solutions to operating partner teams and small to mid-sized companies for special situations, asset-based financings, and secondary purchases. The firm i","real estate, corporate finance, specialty finance, investment, investment solutions, opportunistic investing, asset management, capital solutions, private equity, operational expertise, real estate in"
IV Capital,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),"Owner, Iv Capital",,"private investment, capital funding, small business loans, commercial bridge loans, residential transitional loans, flip loans, investment criteria, business partnerships, venture capital, management "
Investment Office Resources (IOR),Investment Management,{'Maybe->No': 1},Investment management - institutional allocator,Partner - Quantitative Analytics & Risk Management,"IOR is a platform designed to help Chief Investment Officers and investment offices access investment talent, subject matter expertise, and industry know-how in a flexible, budget-friendly structure. IOR partners with in-house investment teams to expertly disc","investment office, resourcing solutions, specialty resources, investment advisory, financial consulting, risk management, portfolio management, alternative investments, investment strategy, discretion"
Ironwood Capital,Financial Services,{'Maybe->Yes': 4},Financial firm with investment signals (financial services),Multifamily Acquisitions,Ironwood Capital provides non-control junior capital to middle market companies across the U.S.  The firm has invested more than $1 billion in over 100 companies since 2001 and currently invests subordinated debt and minority equity in amounts ranging from $10,"mezzanine finance, private equity, growth capital, middle market, subordinated debt, environmental services, consumer services, manufacturing, recapitailzations, generational transitions & buyouts, mi"
Jamieson Corporate Finance,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Us CEO & Managing Director At Jamieson Corporate Finance Us Llc,"We are the leading global, independent management advisory firm, owned and managed by our team of professionals, and operating across an international network of offices.

We structure, navigate and implement equity incentive arrangements for management teams ","private equity, restructuring, m, a & management advisory, management advisory, private equity transactions, equity incentive arrangements, buyout advisory, transaction negotiation, management terms, "
Joyal Capital Management,Investment Management,{'Yes->No': 1},Family Office,CEO -founder At Joyal Capital Management,"Joyal Capital Management, LLC is a fully integrated financial services firm based in Plymouth, MA.  Founded in 1982, and with an unrelenting commitment to client and customer satisfaction, Joyal Capital Management, LLC is focused on providing ""Total Plan Integ","estate & tax planning, wealth management, franchise development, real estate finance & investments, mergers, acquistions, private lending, private equity, family office, traditional estate planning, p"
Kaizen Partners,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Owner At Kaizen Partners,"Kaizen Partners is where innovation meets impact. We're in the business of transforming ideas into sustainable success stories, offering cutting-edge financial advisory services that go beyond the conventional.

At Kaizen, we believe in more than just numbers.","corporate advisory, debt capital market, debt syndication, private equity, mergers & acquisitions, investment management, risk management, financial advisory, fundraising services, valuation services,"
"Kimbell Royalty Partners, LP",Oil & Energy,{'No->Yes': 3},Does not match ICP (oil & energy),President And Chief Financial Officer Of Kimbell Royalty Partners Lp (nyse: Krp),"Kimbell Royalty Partners, LP (NYSE: KRP) is an oil and gas mineral and royalty variable rate master limited partnership based in Fort Worth, Texas.  KRP is managed by its general partner, Kimbell Royalty GP, LLC, and owns mineral and royalty interests in appro","oil & gas production, energy, royalty interests, mineral ownership, investor relations, cash yield, distribution history, tax information, corporate governance, publicly traded, mineral rights, royalt"
Large Practice Sales,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Founder At Large Practice Sales,Large Practice Sales (LPS) has completed over $1.0 billion of IDSO (Invisible Dental Support Organization) partnerships in the last 24 months for GPs and all specialists. Doctors sell 51% to 80% of their practice for cash at today's low tax rates and continue ,"private equity, dental support organizations, dso, mergers & acquisitions, oral surgery, orthodontics, pediatric dentistry, general dentistry, endodontics, periodontics, implant dentistry, idso, advis"
Legion Capital,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Executive Administrative Director To CEO / Lending Operations Manager,"Legion Capital (Ticker Symbol: LGCP) is a publicly traded FinTech driven private equity lender focused on specialized lending to real estate developers, business owners, and entrepreneurs. We provide bridge funding, acquisition, development and growth capital ","business lending, private equity, investments, business loans, specialized lending, bridge funding, acquisition finance, development capital, growth capital, small business lending, real estate develo"
Link Capital Partners,Financial Services,{'Maybe->Yes': 1},Financial firm with investment signals (financial services),Managing Partner At Link Capital Partners,"Link Capital Partners is an independent financial services firm, providing financial advisory, fixed income advisory, asset management in alternative assets, and institutional distribution. The partners of Link Capital Partners have worked together for over 10","institutional distribution, mergers, acquisitions, corporate restructurings, independent advisory, asset management, investment opportunities, mergers & acquisitions, capital raising, private equity, "
Long Ridge Equity Partners,Financial Services,{'Yes->No': 1},Corporate Buyer,Partner/ CFO/ Cco | Cpa @ Long Ridge Equity Partners,"Founded in 2007, Long Ridge invests in growth stage companies that are transforming financial and business technology. 

With $1.75 billion under management, Long Ridge partners with visionary entrepreneurs to build sector leaders. The firm's collaborative app","financial services, business technology, growth investing, financial technology, investment management, private equity, supply chain compliance, customer engagement, identity verification, wealth mana"
Möbius,Investment Management,{'Maybe->No': 1},Investment management - institutional allocator,The Möbius Project,"A Möbius é uma gestora com foco em investimentos alternativos de alto retorno com expertise em crédito estruturado e ativos judiciais.

Seus sócios possuem longo histórico de sucesso na originação e estruturação de operações complexas.

Acreditamos que gestore","investimentos, gestao de recursos, credito, investimentos alternativos, mercado financeiro, ativos judiciais, legal claims, reestruturacao de divida, corporate financing, corporate debt, alternative i"
OffDeal,Information Technology & Services,{'No->Yes': 1},Information Technology & Services - not ICP,Founder & CEO @ Offdeal | Investment Banking For Small Businesses | We're Hiring!,"OffDeal is an AI-native investment bank for small businesses. 

We offer small business owners a hassle-free way to sell their company for the highest price to the best possible buyer. We leverage years of Wall Street experience and our custom-built proprietar","technology, information & internet, m&a advisory, business sale, ai algorithm, buyer matching, deal sourcing, confidentiality, fast closures, strategic buyers, data-driven decisions, market mapping, b"
