Company Name,Rows,Industry_set,Website_set,Invest_counts,pair_counts,ICP_other_set,ICP_mine_set,ICP_Reason_top,Titles,Headline_sample,Keywords_sample,Desc_sample,LinkedIn_examples
Ascent CFO Solutions,1,Accounting,http://www.ascentcfo.com,{'No': 1},{'No->Yes': 1},No,Yes,{'Accounting firm - service provider': 1},"Fractional CFO, Founder And CEO Of Ascent CFO Solutions","Fractional CFO & Founder, CEO Of Ascent CFO Solutions","outsourced cfo services, fractional cfo, parttime cfo, accounting services, mergers & acquisitions, financial modeling, cash flow forecasting, funding, capital strategy, outourced finance, fundraising, m&a advisory, equity fundraising, debt fundraising, business intelligence, financial dashboards, real-time data, kpi tracking, strategic financial planning, financial reporting, financial analysis, interim cfo, financial guidance, business performance, startup support, customized financial strategy, performance metrics, corporate finance, financial forecasting, financial insights, tax compliance, investment strategy, financial risk management, saas financial services, financial operations, accounting infrastructure, financial process improvement, capital management, data visualization, financial performance metrics, industry benchmarks, financial restructuring, growth strategy, financial health assessment, budgeting, forecasting accuracy, team integration, cash management, financial compliance, strategic partnerships, decision-making, business growth strategy, financial consulting, financial team integration, financial services, fund-raising, analytics, information technology & services, management consulting","Ascent CFO Solutions is a Colorado-based professional services firm providing financial and accounting solutions to high-growth startups and established brands across the country. We are an experienced team of CFO's and finance & accounting professionals, dedicated to helping your business reach its full potential through sound financial guidance.

With decades of experience, Ascent CFO consultants integrate seamlessly into existing teams providing a long-term, proactive approach to establishing strategic, accurate and reliable finance and accounting practices and systems. Ascent CFO Solutions specializes in financial models and cash flow forecasts, startup launch, accounting automation, cap",http://www.linkedin.com/in/degolier
"Assertive Industries, Inc.",1,Accounting,http://www.assertiveindustries.com,{'No': 1},{'No->Yes': 1},No,Yes,{'Accounting firm - service provider': 1},Senior Managing Partner,Senior Managing Partner,"fixed asset management, warehouse inventory management, cost segregation, physical inventory services, asset reconciliation, bar code technology, best practices asset inventory management, policy & procedure reviews, corporate relocation, personal property tax savings, third party logistics 3pl, asset sale lease back financing, surplus asset sales, it asset recycling, bar code scanners, bar code printers, bar code labels, asset inventory management systems, asset auditing, inventory management, barcode technology, physical inventory, property valuation, tax compliance, logistics services, supply chain management, facilities management, equipment tracking, personal property tax reviews, enterprise solutions, asset barcoding, asset appraisals, policy reviews, construction management, software solutions, asset evaluation, green building design, client services, outsourcing, risk management, data management, best practices, m&a advisory, surplus asset management, logistics technology, warehouse design, logistics operations, financial analysis, erp integration, fundamental asset management, capital asset management, automated inventory process, multi-family property management, real estate services, commercial property management, data verification, project management, contract negotiations, asset tracking systems, technology solutions, industry compliance, corporate advisory services, client engagement, logistics & supply chain, facility management, productivity","Assertive Industries (AI) specializes in solving fixed asset and inventory management problems for the world's leading companies and organizations. For a quarter century, AI has provide complete fixed asset and inventory management solutions for the Fortune 500 that include:

* Asset Inventory Management Policy and Procedure Review, Development & Imlementation
* Certified Physical Inventory Audit Services
* Certified Financial Reporting Compliance, Tax Savings, & Accurate Depreciation Allocation
* Implementation of Bar Code & RFID Technology with ERP System Integration
* Cost Segregation, Contingency of Savings Studies & 3PL Outsourced Management
* We serve all of North American and have off",http://www.linkedin.com/in/karl-l-moody-66192214
Barton CPA PLLC,1,Accounting,http://www.bartoncpafirm.com,{'No': 1},{'No->Yes': 1},No,Yes,{'Accounting firm - service provider': 1},Managing Partner,Managing Partner,"audit, accounting, pcaob, us gaap, crowdfunding, reg cf, reg a, due diligence, tax, bookkeeping, reviews, assurance, consulting, tax services, financial statement preparation, reg a+, financial analysis, quality of earnings, business valuation, cpa services, financial reporting, internal controls, sec compliance, risk management, m&a advisory, financial planning, start-up consulting, professional advisors, client consultations, business strategy, financial audits, client relations, service customization, financial metrics, cash flow analysis, tax compliance, sustainable earnings, financial reviews, accounting standards, solvency analysis, inventory management, investment advisory, business forecasts, processing efficiency, financial restructuring, exit planning, financial health assessment, profit improvement, cost reduction strategies, financial transparency, operational audits, regulatory compliance, enrolled agents, review engagements, tax planning, financial services, social fundraising, social media, consumer internet, consumers, internet, information technology & services, fund-raising","We are a Texas based, PCAOB registered, full-service public accounting firm, with local roots and a global reach. We are proud to serve our local Bridgeland Community and honored to service our hundreds of clients across the country and around the world. From publicly traded companies to start-ups in the bootstrapping phase, we provide a wide range of services to meet your specific needs. Whether you are an established fully operating company or just starting to go through the crowdfunding process, we can help. We believe that relationships matter, not just numbers, and we take pride in being year round business advisors, not just during an annual audit or tax season.",http://www.linkedin.com/in/danwbarton
"Barton, Walter & Krier, P.C. CPAs and Business Advisors",4,Accounting,http://www.bwkaccounting.com,{'No': 4},{'Maybe->Yes': 4},Maybe,Yes,{'Accounting firm mentioning PE/FO': 4},Partner | Managing Partner,"Partner | Managing Partner | Shareholder/partner At Barton Walter & Krier, Pc","accounting services & advice for privately held companies, audit, assurance, tax services, business tax, personal tax, consulting, accounting, bookkeeping, transaction advisory, estate planning, gift tax, trust services, sales tax, use tax, compliance, financial reporting, financial analysis, m&a consulting, family office solutions, outsourced accounting, payroll services, tax planning, cost reduction, tax compliance, revenue growth, business valuation, client-focused, risk management, strategic planning, holistic approach, client relationships, customized solutions, industry expertise, regulatory compliance, multi-state tax, succession planning, nexus reviews, financial health monitoring, cash flow management, cpas, client portal, client testimonials, integrity, quality assurance, proactive solutions, value-added services, performance measuring, tax strategy development, erisa services, human resources consulting, financial services, law practice, legal services","Barton Walter & Krier, P.C.
Certified Public Accountants & Business Consultants
6885 Sycamore Lane N, Suite 100
Maple Grove, MN  55369
(763) 367-7300

You'll find our entire staff ready to be friendly and attentive to your special concerns. You'll find us uncompromisingly professional and ethical. As a result, we have an enviable client retention rate of which we're quite proud - It's an indication of our dedication to our business clients. You trust us to trust you - to give you good, honest service - to treat you as a valued client. At Barton, Walter & Krier, your trust is returned with the highest level of professional service and personal attention. We'll stake our reputation on it.",http://www.linkedin.com/in/ryan-klemmensen-b52a6476 | http://www.linkedin.com/in/jim-stelzer-89511714
Brix + Partners LLC,1,Accounting,http://www.brixcpa.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Accounting firm mentioning PE/FO': 1},Partner,"Partner, Steuerberater At Brix + Partners Llc","u.s. tax advisory, international tax planning, tax compliance, high net worth individuals, estate tax, gift tax, tax optimization, family offices, corporate tax advisory, private clients, medium-sized businesses, double taxation agreements, tax strategy, asset preservation, venture capital, private equity, succession planning, audit support, tax audits, tax advice, financial statements preparation, accounting compliance, financial reporting, residential taxation, cross-border taxation, trusts & estates, individual tax returns, business tax planning, family foundations, mergers & acquisitions, tax treaties, google-responsive tax advice, dachli tax regime, tax litigation, financial analysis, real estate investments, investment advisory, trust & estate planning, family office management, international tax law, non-resident taxation, compliance services, financial consulting, regulatory compliance, tax risk management, tax rulings, entity structuring, business acquisitions, financial services, management consulting","Brix + Partners LLC is a prominent tax, accounting, and consulting firm servicing  German speaking clients operating or investing in the U.S., and American firms operating abroad.  
Our team consists of German and American accountants, tax lawyers and tax consultants with many years of experience providing tax services to international clients in the United States. 

We specialize in providing tax advisory services to clients with mature and emerging U.S. businesses or investments.  These companies are largely middle-market entities representing a broad spectrum of industries. We also offer tax and accounting services to high-net-worth individuals having a tax obligation in the U.S.  

We co",http://www.linkedin.com/in/gerald-brix-76b2773b
Crew Finance,3,Accounting,http://www.crewfinance.com,{'No': 3},{'No->Yes': 3},No,Yes,{'Accounting firm - service provider': 3},Partner | Human Resources Business Partner | Managing Partner,Managing Partner,"financial management, startup finance, accounting services, financial reporting, financial planning, fundraising support, cfo services, investor relations, financial analysis, cash flow management, budgeting services, kpi development, revenue recognition, expense management, bank reconciliation, financial strategy, due diligence, cap table management, m&a advisory, financial modeling, performance metrics, operational efficiency, risk management, startup growth, stakeholder communication, monthly financial reporting, compliance services, financial insights, profitability analysis, cost optimization, financial clarity, turn-key finance department, transparency, accountability, strategic planning, human resources services, investment management, venture capital, financial forecasting, data-driven decision making, cost structure analysis, investment strategy, operational risk, financial health assessment, data analytics, service optimization, financial expertise, holistic financial review, performance monitoring, business valuation, financial services","Crew supports high-growth businesses with management accounting, CFO, FP&A and HR services.",http://www.linkedin.com/in/jedannah | http://www.linkedin.com/in/janene-fukuda-980a8b76
"Evolved, LLC",1,Accounting,http://www.evolvedtax.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Accounting firm mentioning PE/FO': 1},Partner,Partner,"priate equity taxation, business taxation, family office taxation, hedge fund taxation, high net worth tax strategies, vc tax, tax compliance, business advisory, private equity, mergers & acquisitions, high net worth individuals, family offices, startups, small businesses, foreign businesses, estate planning, wealth transfer, philanthropy, tax structuring, tax efficiency, partnership accounting, investment strategy, due diligence, tax returns, regulatory compliance, tax advantages, business growth strategies, entity selection, tax filings, operational efficiency, risk management, transaction planning, irs compliance, charitable giving, succession planning, family business strategies, international tax services, local tax compliance, client partnership, tax modeling, tax allocations, profit maximization, federal tax compliance, state tax compliance, tax strategy consulting, financial advisory, compliance programs, tax notices, audit assistance, tax reporting, cross-border taxation, transfer pricing, investment analysis, tax minimization, negotiation strategies, tax planning services, b2b, financial services, law practice, legal services, financial consulting, consulting, management consulting","With offices in New York City, Philadelphia and Stamford, Evolved is a fast-growing tax compliance and business advisory firm that serves startups, small businesses, private equity funds, hedge funds, high-net-worth-individuals and family offices. Our CPAs and tax professionals operate in a highly collaborative environment where team members are united by integrity, reliability, and a common passion for advancing our clients' interests.",http://www.linkedin.com/in/zaid-butt-cpa-15790715a
Grapp Lerash,1,Accounting,http://www.grapplerash.com,{'No': 1},{'Maybe->Yes': 1},Maybe,Yes,{'Accounting firm mentioning PE/FO': 1},Founding Partner,🧱building A New Future For Accounting Professionals | Cpa | 🌿ask Me About Your Cra Afs (annual Financial Statement) | 📈 Results Driven Entrepreneur |,"accounting, tax, assurance, cannabis, real estate, family office, small business, retail, manufacturing, notforprofit, audit, agreedupon procedures, tax services, assurance services, consulting, cannabis accounting, hospitality accounting, non-profit services, real estate consulting, retail services, business solutions, cpa firm, financial statement preparation, annual financial statements, pre-licensing support, compliance reporting, tax planning, cash flow management, strategy consulting, audit services, client relationships, professional services, industry expertise, licensing support, business structuring, financial compliance, customized solutions, merger & acquisition consulting, internal control structuring, risk management, community support, market analysis, sales tax assistance, excise tax planning, inventory valuation, cam analysis, strategic planning, small business consulting, financial advisory services, performance improvement, corporate finance, investment advice, local business support, business transformation, regulatory compliance, cost control, financial reporting, accounting systems, data analysis, risk assessment, fiscal responsibility, community engagement, financial services, pharmaceuticals, medical, mechanical or industrial engineering, strategic consulting, b2b, management consulting, professional training & coaching, capital markets, data analytics",,http://www.linkedin.com/in/kalebgrappcpa
GrowthLab Finance-as-a-Service,2,Accounting,http://www.growthlabfinancial.com,{'No': 2},{'No->Yes': 2},No,Yes,{'Accounting firm - service provider': 2},CEO | HR Business Partner,"Growthlab CEO | Faas Pioneer, Strategic Finance For The Entrepreneurial Journey | HR Business Partner","business modeling, financial modeling, startups, entrepreneur, finance, business intelligence, accounting services, financial services, strategy, data analytics, data modeling, small businesses, business tax, fractional hr, financeasaservice, hrasaservice, business services, accounting, enterprise software, software, information technology, finance-as-a-service, accountants, financial planning, tax strategy, virtual cfo, business accounting, monthly accounting, tax consulting, hr consulting, people advisory services, 1109a valuations, cfo support, cash flow management, startup financial services, client success stories, business growth, financial analysis, budgeting, forecasting, expense management, risk mitigation, tax compliance, corporate finance, strategic business consulting, financial reporting, business valuation, client relationship management, financial metrics monitoring, performance measurement, auditing services, investment strategies, tax return preparation, payroll services, accounting technology support, cost accounting, management accounting, long-term financial planning, financial reporting systems, bookkeeping services, grant accounting, cash flow projections, m&a advisory, succession planning, operational financial consulting, employee compensation strategy, financial strategies for startups, accounting system implementation, business lifecycle advisory, analytics, information technology & services, b2b, enterprises, computer software, management consulting","GrowthLab is a Finance-as-a-Service (FaaS) company dedicated to empowering Founders, Entrepreneurs, and Management Teams with comprehensive financial and operational support.

Our GL CFO Suite is a strategic partnership designed to help you scale and succeed. We provide a full suite of services, including Accounting, Financial Planning & Analysis (FP&A), CFO, Business Tax, HR, and Workflow Automation (www.STRMS.io), tailored to the needs of medium-sized businesses and entrepreneurs.

GrowthLab specializes in helping SMBs, startups, and emerging growth companies achieve elevated financial management, actionable business intelligence, strategic planning, and operational efficiency.

Our custom",http://www.linkedin.com/in/danielgertrudes | http://www.linkedin.com/in/abigail-church-phr%c2%ae-5a102116
Hedman Partners LLP,6,Accounting,http://www.hedmanpartners.com,{'No': 6},{'No->Yes': 6},No,Yes,{'Accounting firm - service provider': 6},"Audit Partner, Ebp Practice Leader, Caas Partner | Managing Partner | Partner | Audit Partner/m&a Director | Sr. Tax Manager At Hedman Partners Llp | Audit Partner","Audit Partner, Ebp Practice Leader, Caas Partner | Managing Partner | Partner At Hedman Partners","distribution, real estate, software, beauty, caas, consulting, mergers, acquisitons, audits, tax, cpa services, business advisory, tax planning, audit services, financial consulting, employee benefit plan audits, real estate services, investment banking, mergers & acquisitions, due diligence, financial statement preparation, informed decision making, cost segregation studies, business valuations, tax compliance, strategic business planning, risk management, insurance services, asset management, financial planning, corporate tax provision, nexus studies, state tax planning, international tax, income tax return preparation, retirement plan audits, conflict resolution, joint venture accounting, profit participation, succession planning, exit strategy development, fiduciary responsibilities, business personal property tax returns, audit quality control, savings plan compliance, economic development, client relationship management, recordkeeping compliance, financial projections, benchmarking, strategic startups, change management, trust services, organization implementation, audit documentation, high net worth individuals, group health insurance, long term care insurance, information technology & services, auditing, b2b, financial services, management consulting, capital markets","Hedman Partners, LLP is a full-service Certified Public Accounting (CPA) firm dedicated to helping ""middle-market"" businesses and high-net-worth individuals navigate today's complex financial landscape. Our clients, typically businesses with revenues between $10M and $100M, operate across multi-state and international markets.

Our team of seasoned professionals provides a comprehensive suite of services, including tax, audit, estate and succession planning, M&A advisory, consulting, and more. But we don't stop there. We go beyond traditional accounting by becoming true trusted advisors, helping clients not only understand their financial position but also envision and achieve their long-ter",http://www.linkedin.com/in/janet-thomerson-773b6117 | http://www.linkedin.com/in/calvinhedman
