Row_Number,Person ID,Company ID,Company Name,Industry,Title,ICP_Codex_2,ICP_Claude_2,Manual_ICP,Manual_Reason
7,5570831c7369642466170c00,5db12a02d890840001739e93,Fundamental Income,Real Estate,Partner,No,Yes,No,Non-target industry
12,66fb5800b5ed3900018c2ba8,5d9b734c994fd200d4e9a17f,Entourage Effect Capital,Financial Services,Founder/managing Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
13,54a3c8267468692fa24c6512,62626145cf955e00f59139d4,Seidler Equity Partners,Investment Management,Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
18,6700189c7b229a0001616f19,556dac0873696412174b6401,Blue Rose Capital Advisors,Financial Services,Vice President & Chief Compliance Officer,No,Yes,No,Finance/consulting profile without explicit ICP evidence
30,54a3ac677468693676599109,5a9dea37a6da98d94d8fc63a,The JIAN Group,Building Materials,Partner,Yes,No,Yes,Private equity investment signal
54,5e2dbb2a6136f30001712204,5b8391fcf874f7163ac67bd7,Adventum,Management Consulting,Founding Partner,Yes,No,Yes,Explicit M&A advisory / broker signal
74,5ba81b31f874f7e0a951beec,54a11da569702d8ccc851d01,Next Point LLC,Management Consulting,Managing Partner,Yes,No,Yes,Private equity investment signal
91,54a706f674686975f8c0810e,54a128c469702d979cd14e01,Federman Steifman LLP,Law Practice,Partner,Yes,No,Yes,Family office signal
103,54a4ec197468693b8c80306e,556dbf28736964120f999001,Engaged Capital LLC,Investment Management,"Partner, Head Of Trading And Risk Management",No,Yes,Yes,Explicit M&A advisory / broker signal
104,66fce183294a4d000127fa99,54a135a569702d4b2ecfad00,The Lotus Group,Real Estate,Owner,Yes,No,Yes,Private equity investment signal
109,66f03a520575650001981b94,5e55f8a418a6380001427376,Caravel,Staffing & Recruiting,Founder And CEO,Yes,No,Yes,Family office signal
113,66f6f908535ef50001a20ce0,54a1269b69702d8b197d6300,Liberty Advisor Group,Management Consulting,Founder / Partner,Yes,No,Yes,Private equity investment signal
117,6804f8cae741b700010440f8,5da27745d7019200017f375c,TGN Consulting,Management Consulting,CEO And Principal,Yes,No,Yes,Explicit M&A advisory / broker signal
118,672780a91384560001c7899a,55ea5ae6f3e5bb58e80055fe,"Laurel Strategies, Inc.",International Affairs,"Founder, Chair & CEO",Yes,No,Yes,Explicit M&A advisory / broker signal
124,601d5848680816000117e397,54a198357468695860962e00,"Ardmore Banking Advisors, Inc.",Financial Services,President & CEO,No,Yes,No,Finance/consulting profile without explicit ICP evidence
125,64f4e0c6cafd1a0001459d5a,54a1351469702d48e2085d00,Rankin McKenzie,Financial Services,Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
130,54a71e7674686965d9affd16,54a1a07f7468694f8f5b0003,Wegman Hessler Valore,Law Practice,Partner,Yes,No,Yes,Family office signal
133,66fc485359c48a000172ed8a,5fc979bb85d000000101c208,Crunchfirm,Financial Services,Founder & CEO,No,Yes,Yes,Explicit M&A advisory / broker signal
135,55708c4b73696425fa340200,5e208bcd4486cf008cbcb8db,TP4 Advisors,Financial Services,Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
138,57d73d64a6da985bbf0a783e,54a12b1169702dcef9786e02,SIS Intelligence,International Trade & Development,Founder - Senior Consultant,Yes,No,Yes,Private equity investment signal
140,6419be48e5a5840001df0d2e,5cb6127080f93e30d2b6ed89,Ultim Group,Management Consulting,"CEO At Utg, Chairman",Yes,No,Yes,Family office signal
147,5e6c8c0eb072820001fa77f4,604a82c3b466f700014083db,Spartan Placements,Staffing & Recruiting,Partner Engagement & Talent Relations Lead,Yes,No,Yes,Private equity investment signal
148,60498085a17367000189c842,61d5b346e4c43500a41fdd44,Franchise Equity Partners,Financial Services,"Managing Director, Head Of Investments",No,Yes,No,Finance/consulting profile without explicit ICP evidence
156,5f559c2446f0630001a7f780,5d09a009f65125b2bb0e78dc,DWC - The 401(k) Experts,Financial Services,Partner,No,Yes,No,Finance/consulting profile without explicit ICP evidence
158,687d8ff25046d40001b34d80,5569b6747369642589428400,Curran Group,Investment Management,President And CEO,No,Yes,No,Finance/consulting profile without explicit ICP evidence
163,66f769b79cab900001165e37,60495aec9c0342000191c979,Ascension Search Partners,Staffing & Recruiting,"Partner, Tax Recruiting Practice",Yes,No,Yes,Family office signal
