Company Name,rows,industry,website,title_sample,reason_top,pair_counts,invest_counts,initial_label,confidence,auto_reason,desc_sample,keywords_sample,headline_sample
A/B Consulting,1,Management Consulting,http://www.studioab.co,Operating Partner,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"A/B is a full-service strategy consulting firm that is dedicated to solving our client's most complicated and pressing challenges. We are committed to delivering high-quality, data-driven advisory and insights on investments, growth, and business strategy. Our network of over 450 consultants enables A/B to build teams that offer expertise across industries and disciplines to provide the best possi","strategy consulting, growth strategy, commercial due diligence, complex problem solving, business consulting & services, consultancy, strategy, m&a advisory, data-driven solutions, market assessment, customer insights, competitive analysis, business strategy, portfolio management, market entry, busi",Operating Partner
AANDAR Real Estate Capital,5,Financial Services,http://www.aandar.com,Vice President | Vice President Of Originations | Founder & CEO,Financial firm with investment signals (financial services),{'Maybe->Yes': 5},{'No': 5},Yes,high,deal_investment_terms,,"commercial real estate, financing solutions, real estate owners, real estate developers, real estate investors, financing options, competitive loan terms, seamless closing process, permanent financing, construction loans, bridge loans, mezzanine financing, healthcare financing, acquisition financing",
AEC Partners,1,Management Consulting,http://www.aec-partners.com,Partner,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"AEC Partners provides Strategic Consulting & Transactional services to the evolving Life Sciences industry, bringing a forward-looking vision based on well-founded recommendations, facilitating senior management decision-making, and mobilizing teams for business transformation.

Our activities | Strategy & Organisation, Business Excellence, Market Access, and specific support for Biotech, Medtech ","strategy & organization consulting, m, a & business development advisory, healthcare & life sciences, market access, business consulting & services, strategic consulting, life sciences, biotech, medtech, ehealth, business transformation, operational performance, value creation, customer engagement, ",Partner At Aec Partners
Acclaro Growth Partners,2,Management Consulting,http://www.acclaropartners.com,Partner,Management consulting with M&A signals,{'Maybe->Yes': 2},{'No': 2},Yes,high,"explicit_target_term,deal_investment_terms","Acclaro is derived from the Latin verb ""acclaro,"" which means to reveal or, more specifically, to clarify, reveal, amplify and decide -- an ideal name for our consulting firm. 

Our mission is to facilitate enhanced decision-making to maximize growth, reduce risk and create value for investors, their management teams, and our corporate clients.

Acclaro's mission is to help our middle market clien","due diligence, research, strategy, competitive intelligence, customer analysis, market research, m, a due diligence, commercial due diligence, growth strategy, market strategy, sell side studies, investment banking, private equity, mergers, acquisitions, performance improvement, complex quant soluti",
Ally Bridge Group,7,Financial Services,http://www.ally-bridge.com,"Managing Director, Head Of Investor Relations | Vice President | Vice President, Biotech Private Equity",Financial firm with investment signals (financial services),{'Maybe->Yes': 7},{'No': 7},Yes,high,deal_investment_terms,"Ally Bridge Group is a global healthcare manager focused on high-impact life science innovation across private and public markets. Founded in 2013 by Frank Yu, Co-Chief Executive Officer and Co-Chief Investment Officer, the firm manages assets from offices in New York and Hong Kong. Our mission is to generate superior risk-adjusted returns for investors while seeking to address unmet medical needs","healthcare, private equity, public equity, healthcare investment, life science, biotechnology, medical technology, capital markets, investment management, clinical research, m&a, risk-adjusted returns, healthcare innovation, venture capital, biopharmaceuticals, therapeutics, medical devices, diagnos",Managing Director
"Altrius Capital Management, Inc.",1,Investment Management,http://www.altrius-capital.com,"Founder, Chief Investment Strategist",Investment management - HNW/wealth,{'Maybe->No': 1},{'Yes': 1},No,high,"accounting_service,wealth_management","Altrius Capital is an investment management firm dedicated to providing sound risk adjusted returns through our proprietary process which focuses on global revenue generation, value and above average income. For more information, please visit our website www.altriuscapital.com.","investment management & wealth management, capital management, private clients, financial advisors, investment strategy, wealth management, portfolio management, risk assessment, financial planning, asset allocation, client success, long-term investments, institutional investing, market analysis, fi","Founder, Chief Investment Strategist At Altrius Capital Management, Inc."
"ArcVera Renewables, a Bureau Veritas company",1,Renewables & Environment,http://www.arcvera.com,President And Principal Engineer,Does not match ICP (renewables & environment),{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"ArcVera Renewables, a Bureau Veritas company, is a leading consultancy firm providing finance-grade commercial and technical services for wind, solar, energy storage and hybrid renewable energy projects for over four decades. ArcVera delivers best-in-class services across the project lifecycle to meet the needs of landowners, project developers, investors, project owners and operators globally. We","wind & solar prospecting, wind & solar resource assessment, wind & solar project optimization, wind & solar project financing, wind & solar technology testing, independent engineering, wind & solar operations & maintenance support, energy storage, accredited power performance testing, services for r",President And Principal Engineer At Arcvera Renewables
"Armstrong & Associates, Inc.",1,Logistics & Supply Chain,http://www.3plogistics.com,Chief Executive Officer,Does not match ICP (logistics & supply chain),{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"At Armstrong & Associates, we specialize in third-party logistics (3PL) market research and consulting. Our expertise includes strategic planning, logistics outsourcing, mergers and acquisitions advisory, and performance benchmarking. We offer detailed market research reports, a 3PL Guide, and consulting services to help optimize logistics operations and strategic business planning. Our insights a","logistics outsourcing, 3pl market research, 3pl m, a advisory, 3pl strategy, business planning, 3pl evaluation, selection, contracting, transportation & warehousing benchmarking, 3pl marketing, ecommerce logistics, digital freight matching, 3pl consulting, strategic planning, mergers & acquisitions,","CEO Of Armstrong & Associates, Inc. / 3pl Market Analyst / Strategy Consultant / M&a Advisory / Outsourcing"
Auramet International,2,Mining & Metals,http://www.auramet.com,Chief Executive Officer | CEO,Does not match ICP (mining & metals),{'No->Yes': 2},{'No': 2},Yes,high,explicit_target_term,"Auramet's​ expertise in precious and battery metals begins with a skilled management team holding decades of experience in mining, commodities, and financial transactions.

As a physical metals merchant, Auramet offers​ a range of flexible solutions to mining companies and manufacturers, including:
     · Physical Precious Metal Offtake, Supply and Risk Management
     · Precious Metal Value Chain","mining, metals trading, precious metals financing, gold loans, silver trading, platinum purchase, palladium financing, rhodium investment, structured finance, merchant banking, risk management, investment advisory, corporate finance, project finance, hedge advisory, m&a advisory, debt structuring, a","Chief Executive Officer At Auramet Trading, Llc"
Back Bay Life Science Advisors,1,Management Consulting,http://www.bblsa.com,Senior Partner,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,"explicit_target_term,deal_investment_terms","Back Bay Life Science Advisors offers integrated strategy consulting and investment banking execution for the life sciences. We guide biotech, pharmaceutical, and medical technology companies and their investors on development, commercialization, growth, and maintenance of market share. Back Bay provides clear and unbiased advice and execution for the critical decisions that drive value.

In 2023,","strategy consulting, financial advisory, biotech, medical device, pharmaceutical, m, a, crossborder transaction, divestitures, licensing, partnerships, franchise, valuation, clinical, scientific, qualitative & quantitative analytics, earlystage r, d strategy, life cycle management, product positioni",
